Num_sentences,sentence_number,sentence,answer,PureGrammarProfile,C【基本语义及用法】,【例句】,【结构特点】,prompt1,prompt2
3117,1,什么时候我们才能去旅行？,F,口语格式：×什么(啊),"指对已经发生事情的评价,表示推翻或者否定,含有负面情绪。
","
1.玩儿什么,我们赶快工作吧。
2.舒服什么啊,办公室空调坏了。
3.合适什么啊,这件衣服真的太贵了!
","
1. V+什么啊, S+P
   玩儿什么啊, 我们赶快工作吧。

2. Adj+什么啊, S+P
   舒服什么啊, 空调坏了。","请判断：在句子“什么时候我们才能去旅行？”中，是否包含语法点[口语格式：×什么(啊)?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[口语格式：×什么(啊)]表示指对已经发生事情的评价,表示推翻或者否定,含有负面情绪。
例句如下
1.玩儿什么,我们赶快工作吧。
2.舒服什么啊,办公室空调坏了。
3.合适什么啊,这件衣服真的太贵了!
请判断：在句子“什么时候我们才能去旅行？”中，是否包含语法点[口语格式：×什么(啊)?
如果包含，请仅回答T
如果不包含，请仅回答F"
7143,5,这个项目的进展非常顺利。,F,口语格式：什么X的Y的,"  
列举不同类别的事物，表示不进行区分，强调一致。一般用于口语。

","
1.什么你的我的，都是大家的。
2.什么好的坏的，我们买的都是一样的。
3.什么吃的喝的，我都忘了带了。
","  
“什么X的Y的”中的X、Y可以是词，也可以是短语。后半句中一般会有“都、全、全都、统统”等与之搭配。  
结构：什么X的Y的，(S+)都/全/全都/统统+ VP  
例句：  
- 什么你的我的，都是大家的。  
- 什么好的坏的，我们买的都是一样的。  
- 什么南方的北方的，统统都是中国的。","请判断：在句子“这个项目的进展非常顺利。”中，是否包含语法点[口语格式：什么X的Y的?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[口语格式：什么X的Y的]表示  
列举不同类别的事物，表示不进行区分，强调一致。一般用于口语。

例句如下
1.什么你的我的，都是大家的。
2.什么好的坏的，我们买的都是一样的。
3.什么吃的喝的，我都忘了带了。
请判断：在句子“这个项目的进展非常顺利。”中，是否包含语法点[口语格式：什么X的Y的?
如果包含，请仅回答T
如果不包含，请仅回答F"
6004,5,在沙漠中行走会异常疲惫。,T,程度副词：异常,"表示程度很高，意思是“非常、特别、格外”。用于书面语。
","
1.今天天气异常寒冷。
2.下雪后登山会异常艰难。
3.王经理异常讨厌他人在室内抽烟。
","
“异常”一般用在形容词或心理动词前边作状语。
1. S + 异常 + Adj
   - 同学们异常兴奋。
2. S + 异常 + V心理 + O
   - 王经理异常讨厌他人在室内抽烟。

","请判断：在句子“在沙漠中行走会异常疲惫。”中，是否包含语法点[程度副词：异常?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[程度副词：异常]表示表示程度很高，意思是“非常、特别、格外”。用于书面语。
例句如下
1.今天天气异常寒冷。
2.下雪后登山会异常艰难。
3.王经理异常讨厌他人在室内抽烟。
请判断：在句子“在沙漠中行走会异常疲惫。”中，是否包含语法点[程度副词：异常?
如果包含，请仅回答T
如果不包含，请仅回答F"
5055,3,她在厨房里做饭。,F,固定格式：在……看来,"表示从某人的角度提出后边的看法或意见。
","
1.在我看来，这次中文考试实在是太难了。
2.在很多人看来，这件事没有那么简单。
3.在老师看来，每一个学生都有自己的优点。
","
“在……看来”经常放在主语前作状语，中间出现的一般是指人的名词或代词。
在 + N/Pron + 看来，S + P
在 老师 看来，每 一个 学生 都有 自己 的 优点。
在 我 看来，这 次 中文 考试 实在 是 太难 了。","请判断：在句子“她在厨房里做饭。”中，是否包含语法点[固定格式：在……看来?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[固定格式：在……看来]表示表示从某人的角度提出后边的看法或意见。
例句如下
1.在我看来，这次中文考试实在是太难了。
2.在很多人看来，这件事没有那么简单。
3.在老师看来，每一个学生都有自己的优点。
请判断：在句子“她在厨房里做饭。”中，是否包含语法点[固定格式：在……看来?
如果包含，请仅回答T
如果不包含，请仅回答F"
6061,9,一时冲动，他做出了让自己后悔的决定。,F,并列复句：一时……一时……,"前一分句表示事物或现象的一种状态，后一分句表示事物或现象的另一种状态，说明某个事物或现象不稳定。

","
1.年纪太大了，身体一时好一时坏。
2.这家公司的产量一时上升一时下降。
3.他的情绪有波动，一时高兴一时悲伤。
","

“一时……一时……”所连接的前后两个分句中的谓语(动词性成分或形容词性成分)应该为相同结构。

(S+) 一时 + Adj1/V1 + 一时 + Adj2/V2

奶奶的身体 一时 好 一时 坏。

他的情绪 一时 冷静 一时 冲动，不太稳定。

人们对政策的态度也在变，一时 支持 一时 反对。","请判断：在句子“一时冲动，他做出了让自己后悔的决定。”中，是否包含语法点[并列复句：一时……一时……?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[并列复句：一时……一时……]表示前一分句表示事物或现象的一种状态，后一分句表示事物或现象的另一种状态，说明某个事物或现象不稳定。

例句如下
1.年纪太大了，身体一时好一时坏。
2.这家公司的产量一时上升一时下降。
3.他的情绪有波动，一时高兴一时悲伤。
请判断：在句子“一时冲动，他做出了让自己后悔的决定。”中，是否包含语法点[并列复句：一时……一时……?
如果包含，请仅回答T
如果不包含，请仅回答F"
6024,5,这个项目的进展与计划同步进行。,F,介词(引出对象)：同1,"引出动作的对象或比较的对象，后面的对象一般为“人”。多用于书面语。
","
1.同你一样，我也是学生。
2.他上午已经同我告过别了。
3.留学四年，我一直同安娜住在一起。
","
(1) “同”与名词性成分或代词组合在一起，在句中作状语。“同”后面的名词性成分或代词一般是动作的对象或协同对象。
   S + 同1 + NP/Pron + VP
   我们同B组合作，终于完成了此项任务。(NP/Pron为协同对象)
   他上午已经同我告过别了。(NP/Pron为动作对象)

(2) “同1”后面有时是比较的对象，一般以“同1……相比/一样”形式出现。
   (S +) 同 + N/Pron + 相比/一样，(S +) AP/VP
   同哥哥相比，马丁更聪明。(N/Pron为比较对象)
   他同我一样，都不喜欢唱歌。(N/Pron为比较对象)

","请判断：在句子“这个项目的进展与计划同步进行。”中，是否包含语法点[介词(引出对象)：同1?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[介词(引出对象)：同1]表示引出动作的对象或比较的对象，后面的对象一般为“人”。多用于书面语。
例句如下
1.同你一样，我也是学生。
2.他上午已经同我告过别了。
3.留学四年，我一直同安娜住在一起。
请判断：在句子“这个项目的进展与计划同步进行。”中，是否包含语法点[介词(引出对象)：同1?
如果包含，请仅回答T
如果不包含，请仅回答F"
2045,7,他们都住在同一个小区。,F,语气副词：都2,"“都”表示说话人认为时间晚、用时长、数量多或动作状态达到很高的程度。
","
1.都十二点了，我们该睡觉了。
2.我今年都七十了。
3.天都黑了，他还没来。
","
“都”与数量短语、名词性短语或形容词组合，句末通常用语气助词“了”。
(S+)都2+NumP/NP/Adj+了2
例句：
- 都三天了，他还没写完作业。
- 都大学生了，你还不会做这道题！
- 饭都凉了，你快吃吧。

","请判断：在句子“他们都住在同一个小区。”中，是否包含语法点[语气副词：都2?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[语气副词：都2]表示“都”表示说话人认为时间晚、用时长、数量多或动作状态达到很高的程度。
例句如下
1.都十二点了，我们该睡觉了。
2.我今年都七十了。
3.天都黑了，他还没来。
请判断：在句子“他们都住在同一个小区。”中，是否包含语法点[语气副词：都2?
如果包含，请仅回答T
如果不包含，请仅回答F"
3056,2,朝霞映红了整个天空，美得让人心醉。,F,介词(引出方向、路径)：朝,"引出动作针对的方向。
","
1.大门朝南开。
2.他朝左边看了一下儿。
3.他朝我大喊：“小心！”
","
“朝”跟名词性成分组成介词短语，作状语；“朝”后可以加“着”。
S+朝(着)+N/Pron+VP

例如：
人要朝前看。
她朝我点了点头。
新老师进了教室后，朝着学生笑了笑。

","请判断：在句子“朝霞映红了整个天空，美得让人心醉。”中，是否包含语法点[介词(引出方向、路径)：朝?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[介词(引出方向、路径)：朝]表示引出动作针对的方向。
例句如下
1.大门朝南开。
2.他朝左边看了一下儿。
3.他朝我大喊：“小心！”
请判断：在句子“朝霞映红了整个天空，美得让人心醉。”中，是否包含语法点[介词(引出方向、路径)：朝?
如果包含，请仅回答T
如果不包含，请仅回答F"
3018,4,颜料本身的颜色已经褪去，现在看起来有些暗淡。,F,时间副词：本来,"原先，先前。
","
1.会议本来在星期一举行，但是现在改时间了。
2.我本来打算当老师，但是现在改主意了。
3.本来我们计划去爬山，但是突然下雨了，只能取消了。
","
“本来”主要作状语，可用在主语后边，也可以用在主语前边。

1. S+本来+P
   例句：会议本来在星期一举行，但是现在改时间了。
   例句：他本来身体很差，现在很结实。

2. 本来+S+P
   例句：本来他想买电脑，但是钱不够。","请判断：在句子“颜料本身的颜色已经褪去，现在看起来有些暗淡。”中，是否包含语法点[时间副词：本来?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[时间副词：本来]表示原先，先前。
例句如下
1.会议本来在星期一举行，但是现在改时间了。
2.我本来打算当老师，但是现在改主意了。
3.本来我们计划去爬山，但是突然下雨了，只能取消了。
请判断：在句子“颜料本身的颜色已经褪去，现在看起来有些暗淡。”中，是否包含语法点[时间副词：本来?
如果包含，请仅回答T
如果不包含，请仅回答F"
2099,2,"晚上你们想吃火锅,还是想吃烧烤?",T,"选择复句：用关联词语：(是)………,还是……","由两个分句构成,这两个分句由“还是”连接,分别列出两种情况,让听话者从中选择一种。
","
1.你是坐火车来的,还是坐飞机来的?
2.周末你们想去打排球,还是想去打篮球?
3.你想买手机,还是想买相机?
","
1. S(+是)+P1, 还是+P2?
   他是喝水,还是喝茶?
   你想买手机,还是想买相机?

2. (是+)S1+P1, 还是+S2+P2?
   是他过来,还是我们过去?
   你去买水果,还是他去买水果?

","请判断：在句子“晚上你们想吃火锅,还是想吃烧烤?”中，是否包含语法点[选择复句：用关联词语：(是)………,还是……?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[选择复句：用关联词语：(是)………,还是……]表示由两个分句构成,这两个分句由“还是”连接,分别列出两种情况,让听话者从中选择一种。
例句如下
1.你是坐火车来的,还是坐飞机来的?
2.周末你们想去打排球,还是想去打篮球?
3.你想买手机,还是想买相机?
请判断：在句子“晚上你们想吃火锅,还是想吃烧烤?”中，是否包含语法点[选择复句：用关联词语：(是)………,还是……?
如果包含，请仅回答T
如果不包含，请仅回答F"
4083,10,不要因为失败而失去信心。,F,用双重否定表示强调,"两个否定副词连用，整个格式表示肯定的意思，有加强语气、强调的作用。如“没有孩子不喜欢玩儿”的意思是“所有的孩子都喜欢玩儿”。
","
1.没有孩子不喜欢玩儿。
2.这么重要的活动我不可能不参加。
3.我们家没有不喜欢唱歌的。
","
1. 不……不/没/没有……
   例：这么重要的活动我不可能不参加。
       这里不能没你。

2. 没/没有……不……
   例：没有孩子不喜欢玩儿。
       我们班没有一个人不喜欢他的。

3. 不是……不/没/没有……
   例：这件事不是我不管。
       我们不是见不了面了。","请判断：在句子“不要因为失败而失去信心。”中，是否包含语法点[用双重否定表示强调?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[用双重否定表示强调]表示两个否定副词连用，整个格式表示肯定的意思，有加强语气、强调的作用。如“没有孩子不喜欢玩儿”的意思是“所有的孩子都喜欢玩儿”。
例句如下
1.没有孩子不喜欢玩儿。
2.这么重要的活动我不可能不参加。
3.我们家没有不喜欢唱歌的。
请判断：在句子“不要因为失败而失去信心。”中，是否包含语法点[用双重否定表示强调?
如果包含，请仅回答T
如果不包含，请仅回答F"
1003,3,她在图书馆里找到了一本关于会计的书籍。,F,能愿动词：会,"表示有能力做某事或有可能。表示做某事的能力时,强调通过学习得到某种能力。
","
1.我不会说中文。
2.我男朋友会打篮球。
3.她会参加明天的晚会吗?
","
能愿动词“会”用在动词性成分的前边。

1. 肯定形式：
   S+会+VP
   我男朋友会打篮球。

2. 否定形式：
   S+不会+VP
   我不会说中文。

3. 正反疑问形式：
   S+会不会+VP?
   你会不会做面包?

","请判断：在句子“她在图书馆里找到了一本关于会计的书籍。”中，是否包含语法点[能愿动词：会?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[能愿动词：会]表示表示有能力做某事或有可能。表示做某事的能力时,强调通过学习得到某种能力。
例句如下
1.我不会说中文。
2.我男朋友会打篮球。
3.她会参加明天的晚会吗?
请判断：在句子“她在图书馆里找到了一本关于会计的书籍。”中，是否包含语法点[能愿动词：会?
如果包含，请仅回答T
如果不包含，请仅回答F"
7072,9,这次旅行中没说的故事，才是最精彩的。,F,固定短语：没说的,"
意思是没有想说的话，无须多说。用于口语，常用来表示同意、肯定、赞扬。有时也说成“没的说”。

","
1.我愿意做这份工作，那是没说的，只是我的身体有些吃不消。
2.新来的领导我都见过了，真是没说的！
3.没说的，有什么需要我做的，尽管告诉我。
","
“没说的”可以作谓语，也可以单用于句首。
1. S+没说的
   李校长的个人品质没说的。
2. 没说的，S+P
   没说的，你需要我做什么？","请判断：在句子“这次旅行中没说的故事，才是最精彩的。”中，是否包含语法点[固定短语：没说的?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[固定短语：没说的]表示
意思是没有想说的话，无须多说。用于口语，常用来表示同意、肯定、赞扬。有时也说成“没的说”。

例句如下
1.我愿意做这份工作，那是没说的，只是我的身体有些吃不消。
2.新来的领导我都见过了，真是没说的！
3.没说的，有什么需要我做的，尽管告诉我。
请判断：在句子“这次旅行中没说的故事，才是最精彩的。”中，是否包含语法点[固定短语：没说的?
如果包含，请仅回答T
如果不包含，请仅回答F"
5062,1,她有一双灵巧的手，能做出精美的工艺品。,F,“有”字句3：表示附着：主语+动词+有+宾语,"由单音节动词加“有”一起作谓语的句子，表示某事物附着在某处。
","
1.书上写有他的名字。
2.这双筷子上刻有漂亮的图案。
3.发票上列有商品的名称。
","
L + V + 有 + O
书上 写 有 他的名字。","请判断：在句子“她有一双灵巧的手，能做出精美的工艺品。”中，是否包含语法点[“有”字句3：表示附着：主语+动词+有+宾语?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[“有”字句3：表示附着：主语+动词+有+宾语]表示由单音节动词加“有”一起作谓语的句子，表示某事物附着在某处。
例句如下
1.书上写有他的名字。
2.这双筷子上刻有漂亮的图案。
3.发票上列有商品的名称。
请判断：在句子“她有一双灵巧的手，能做出精美的工艺品。”中，是否包含语法点[“有”字句3：表示附着：主语+动词+有+宾语?
如果包含，请仅回答T
如果不包含，请仅回答F"
4025,8,你能替我把这份文件交给经理吗？,T,介词(引出对象)：替,"引出动作的服务对象或者受益者。
","
1.你别替我担心了，我自己能处理。
2.取得这么好的成绩，大家都替你感到高兴。
3.你能替我把这本书还给图书馆吗？
","
“替”跟名词或代词组合，在句中作状语。
S + 替 + N/Pron + V/Adj
妈妈 总是 替 弟弟 担心。
大家 都 替 你 高兴。","请判断：在句子“你能替我把这份文件交给经理吗？”中，是否包含语法点[介词(引出对象)：替?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[介词(引出对象)：替]表示引出动作的服务对象或者受益者。
例句如下
1.你别替我担心了，我自己能处理。
2.取得这么好的成绩，大家都替你感到高兴。
3.你能替我把这本书还给图书馆吗？
请判断：在句子“你能替我把这份文件交给经理吗？”中，是否包含语法点[介词(引出对象)：替?
如果包含，请仅回答T
如果不包含，请仅回答F"
6011,5,他早晚会明白这个道理的。,T,时间副词：早晚,"意思是“或者早或者晚”，表示事情到最后总会有一个结果。
","
1.他早晚会知道事情的真相。
2.再这样高强度地工作，你早晚会累坏身体。
3.再这样下去，公司早晚会破产。
","
“早晚”作状语，可用于主语后边、动词性成分前边，也可用于主语前边。
1. S + 早晚 + VP
   他 早晚 会 知道事情的真相。
2. 早晚 + S + VP
   早晚 我 会 学好外语的。

","请判断：在句子“他早晚会明白这个道理的。”中，是否包含语法点[时间副词：早晚?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[时间副词：早晚]表示意思是“或者早或者晚”，表示事情到最后总会有一个结果。
例句如下
1.他早晚会知道事情的真相。
2.再这样高强度地工作，你早晚会累坏身体。
3.再这样下去，公司早晚会破产。
请判断：在句子“他早晚会明白这个道理的。”中，是否包含语法点[时间副词：早晚?
如果包含，请仅回答T
如果不包含，请仅回答F"
5081,9,我把资料都打印出来了，以便大家讨论时参考。,T,目的复句：……，以便……,"前一分句表示行为，后一分句表示希望达到什么目的。一般用于书面语。
","
1.我们要早一点儿出门，以便能赶上第一班公交车。
2.她现在步行上班了，以便能锻炼锻炼身体。
3.把手机号留下吧，以便跟您联系。
","
1. S+VP1，以便+VP2
   学校设立了意见箱，以便收集意见。
2. S1+VP1，以便+S2+VP2
   我把文件都分类整理好了，以便大家开会使用。

","请判断：在句子“我把资料都打印出来了，以便大家讨论时参考。”中，是否包含语法点[目的复句：……，以便……?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[目的复句：……，以便……]表示前一分句表示行为，后一分句表示希望达到什么目的。一般用于书面语。
例句如下
1.我们要早一点儿出门，以便能赶上第一班公交车。
2.她现在步行上班了，以便能锻炼锻炼身体。
3.把手机号留下吧，以便跟您联系。
请判断：在句子“我把资料都打印出来了，以便大家讨论时参考。”中，是否包含语法点[目的复句：……，以便……?
如果包含，请仅回答T
如果不包含，请仅回答F"
1009,10,这个产品几经改进，终于达到了市场的要求。,F,疑问代词：几,"用在疑问句中，询问数量。一般用来询问“十”以下或说话人认为很少的数量。多用于口语。
","
1.现在几点？
2.你有几本中文课本？
3.你们几个人去？
","
疑问代词“几”跟量词组合后，可以作定语、宾语。

1. S+V+几+M+N?
   你有几本书？

2. S+V+几+M?
   你买几张？

","请判断：在句子“这个产品几经改进，终于达到了市场的要求。”中，是否包含语法点[疑问代词：几?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[疑问代词：几]表示用在疑问句中，询问数量。一般用来询问“十”以下或说话人认为很少的数量。多用于口语。
例句如下
1.现在几点？
2.你有几本中文课本？
3.你们几个人去？
请判断：在句子“这个产品几经改进，终于达到了市场的要求。”中，是否包含语法点[疑问代词：几?
如果包含，请仅回答T
如果不包含，请仅回答F"
5086,6,他的解释可信度很高，大家都相信了。,F,用副词“可”表示强调,"“可” 表示强调语气，用于口语。
","
1.您看起来可太年轻了!
2.你可来了，急死我了!
3.你可别去打扰他，他正忙着呢。
","
“可” 用于形容词性成分或动词性成分前边，可以用于陈述句、祈使句和感叹句。
1. S + 可 + AP
   这个学生 可 真聪明 啊！
   这个问题 可 不简单。

2. S + 可 + VP
   你 可 别去打扰他。
   你 可 得注意身体 呀！","请判断：在句子“他的解释可信度很高，大家都相信了。”中，是否包含语法点[用副词“可”表示强调?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[用副词“可”表示强调]表示“可” 表示强调语气，用于口语。
例句如下
1.您看起来可太年轻了!
2.你可来了，急死我了!
3.你可别去打扰他，他正忙着呢。
请判断：在句子“他的解释可信度很高，大家都相信了。”中，是否包含语法点[用副词“可”表示强调?
如果包含，请仅回答T
如果不包含，请仅回答F"
1075,3,在他的书包里有一本新书。,F,进行态：在/正在+动词,"表示动作的进行或状态的持续，强调说话的时候动作正在进行，状态正在持续。
","
1.孩子在睡觉，你别说话。
2.外边正在下雨。
3.请你等一会儿，他正在开会。
","
“在、正在”放在动词性成分前面。

1. 肯定形式：
   S+在/正在+VP
   例：孩子在睡觉。
       外边正在下雨。

2. 否定形式：
   S+没在/没有+VP
   例：他没在写作业。
       他没有写作业。

","请判断：在句子“在他的书包里有一本新书。”中，是否包含语法点[进行态：在/正在+动词?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[进行态：在/正在+动词]表示表示动作的进行或状态的持续，强调说话的时候动作正在进行，状态正在持续。
例句如下
1.孩子在睡觉，你别说话。
2.外边正在下雨。
3.请你等一会儿，他正在开会。
请判断：在句子“在他的书包里有一本新书。”中，是否包含语法点[进行态：在/正在+动词?
如果包含，请仅回答T
如果不包含，请仅回答F"
3058,7,他昨天向我借了一本书。,T,介词(引出对象)：向,"引出动作的对象，后面的动词可以是具体某一动作，也可以表示某种态度。
","
1.我们要向班长学习。
2.如果不能来上课，你要向老师请假。
3.请代我向他表示感谢。
","
“向”后面加指人的名词或代词，修饰动词谓语。
S+向+N/Pron+VP
他昨天向我借了一支笔。

","请判断：在句子“他昨天向我借了一本书。”中，是否包含语法点[介词(引出对象)：向?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[介词(引出对象)：向]表示引出动作的对象，后面的动词可以是具体某一动作，也可以表示某种态度。
例句如下
1.我们要向班长学习。
2.如果不能来上课，你要向老师请假。
3.请代我向他表示感谢。
请判断：在句子“他昨天向我借了一本书。”中，是否包含语法点[介词(引出对象)：向?
如果包含，请仅回答T
如果不包含，请仅回答F"
7116,7,她已经习惯了早起，故每天都能准时到公司。,T,因果复句：(因)……，故……,"
“故”是“因此、所以”的意思，“因”与之搭配，分别表示原因和结果。一般用于书面语。

","
1.因不是体面的事情，故不好意思说吧。
2.他已经适应了国外的生活，故不打算回来了。
3.因天气状况不好，故推迟了比赛时间。
","
两个分句的主语可以相同，也可以不同。
1. (因+) S + VP₁/AP₁，故 + VP₂
   他已经适应了国外的生活，故不打算回来了。
   因天气状况不好，故推迟了比赛时间。

2. (因+) S₁+ VP₁/AP₁，故 + S₂ + VP₂
   他赢得了奥运会的金牌，故记者打算采访他。
   两座城市的距离不远，故我们打算开车过去。
   因她喜欢花，故家里摆满了各种鲜花。

","请判断：在句子“她已经习惯了早起，故每天都能准时到公司。”中，是否包含语法点[因果复句：(因)……，故……?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[因果复句：(因)……，故……]表示
“故”是“因此、所以”的意思，“因”与之搭配，分别表示原因和结果。一般用于书面语。

例句如下
1.因不是体面的事情，故不好意思说吧。
2.他已经适应了国外的生活，故不打算回来了。
3.因天气状况不好，故推迟了比赛时间。
请判断：在句子“她已经习惯了早起，故每天都能准时到公司。”中，是否包含语法点[因果复句：(因)……，故……?
如果包含，请仅回答T
如果不包含，请仅回答F"
1027,10,这个箱子最重。,T,程度副词：最,"用于比较,表示在同类事物中,某种事物性质或心理活动超过其他,达到顶点。
","
1.飞机最快。
2.我爸爸最高。
3.我最喜欢打球。
","
程度副词“最”一般用在形容词或心理动词前。
1. S+最+Adj 例如：飞机最快。
2. S+最+V心理+O 例如：我最喜欢打球。

","请判断：在句子“这个箱子最重。”中，是否包含语法点[程度副词：最?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[程度副词：最]表示用于比较,表示在同类事物中,某种事物性质或心理活动超过其他,达到顶点。
例句如下
1.飞机最快。
2.我爸爸最高。
3.我最喜欢打球。
请判断：在句子“这个箱子最重。”中，是否包含语法点[程度副词：最?
如果包含，请仅回答T
如果不包含，请仅回答F"
4036,4,山路陡峭，这一上一下真让人累得够呛。,T,固定短语：一A—B,"表示数量非常少，如“一针一线、一草一木”。
    ","
1.这是别人的东西，我们一针一线都不能拿。
2.她一心一意地在家照顾孩子。
3.我们一来一回，至少要三个小时。
","
固定短语“一A—B”中的A、B可以是名词、动词、形容词或数词，“一A—B”可以作主语、宾语、定语、状语、谓语。例如：","请判断：在句子“山路陡峭，这一上一下真让人累得够呛。”中，是否包含语法点[固定短语：一A—B?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[固定短语：一A—B]表示表示数量非常少，如“一针一线、一草一木”。
    例句如下
1.这是别人的东西，我们一针一线都不能拿。
2.她一心一意地在家照顾孩子。
3.我们一来一回，至少要三个小时。
请判断：在句子“山路陡峭，这一上一下真让人累得够呛。”中，是否包含语法点[固定短语：一A—B?
如果包含，请仅回答T
如果不包含，请仅回答F"
6034,8,这个产品的可靠性得到了验证。,F,连词(连接分句或句子)：可3,"连接分句或句子，表示转折。多用于口语。
","
1.我们约定一起去长城玩儿，可他突然有事来不了了。
2.这篇文章虽然不长，可内容很丰富。
3.我倒是愿意，可他不一定有时间。
","
(1)“可3”用在两个分句之间，两分句的主语不同。
   S1 + VP1/AP1，可3 + S2 + VP2/AP2
   例：我喜欢这本书，可他好像并不喜欢。
       这篇文章虽然不长，可内容很丰富。

(2)当“可3”所连接的前后分句的主语一致时，后一分句的主语要省略。
   S + VP1/AP1，可3 + VP2/AP2
   例：他不说话，可心里乐着呢！

","请判断：在句子“这个产品的可靠性得到了验证。”中，是否包含语法点[连词(连接分句或句子)：可3?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[连词(连接分句或句子)：可3]表示连接分句或句子，表示转折。多用于口语。
例句如下
1.我们约定一起去长城玩儿，可他突然有事来不了了。
2.这篇文章虽然不长，可内容很丰富。
3.我倒是愿意，可他不一定有时间。
请判断：在句子“这个产品的可靠性得到了验证。”中，是否包含语法点[连词(连接分句或句子)：可3?
如果包含，请仅回答T
如果不包含，请仅回答F"
5058,10,这种言论不得当，容易引起误会。,F,可能补语2：动词+得/不得dòngcí+de/bude,"“动词 + 得/不得” 相当于 “应该/不应该 + 动词、可以/不可以 + 动词”，表示情理上允许或不允许某动作发生。用于口语，多用否定式。
","
1.这种药吃得还是吃不得，得听医生的。
2.这些东西你可拿不得，很危险的。
3.那些苦别人吃得，我就吃不得吗？
","
1. 肯定形式：
   S+V单+得(+O)
   你 干 得 这活儿，我也干得。
   这水大家都 用 得。

2. 否定形式：
   S+V+不得(+O)
   他 喝 不得 纯牛奶。
   现在 我们 放松 不得。

3. 正反疑问形式：
   S+V+得+V+不得？
   这河里的水 喝 得 喝 不得？

","请判断：在句子“这种言论不得当，容易引起误会。”中，是否包含语法点[可能补语2：动词+得/不得dòngcí+de/bude?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[可能补语2：动词+得/不得dòngcí+de/bude]表示“动词 + 得/不得” 相当于 “应该/不应该 + 动词、可以/不可以 + 动词”，表示情理上允许或不允许某动作发生。用于口语，多用否定式。
例句如下
1.这种药吃得还是吃不得，得听医生的。
2.这些东西你可拿不得，很危险的。
3.那些苦别人吃得，我就吃不得吗？
请判断：在句子“这种言论不得当，容易引起误会。”中，是否包含语法点[可能补语2：动词+得/不得dòngcí+de/bude?
如果包含，请仅回答T
如果不包含，请仅回答F"
3090,10,姐姐跳舞不比我好看。,T,比较句4：A不比B+形容词,"表示在某种性质、状况等方面，前一项在程度上不如后一项或者两者差不多。
","
1.我姐姐不比我高。
2.这个笔记本不比那个大。
3.这个饭店不比上次那个好吃。
","
比较项A和B既可以是名词或名词性短语，也可以是动词或动词性短语。

A+不比+B+Adj
我姐姐不比我高。
当老师不比当医生容易。

","请判断：在句子“姐姐跳舞不比我好看。”中，是否包含语法点[比较句4：A不比B+形容词?
如果包含，请仅回答T
如果不包含，请仅回答F","语法点[比较句4：A不比B+形容词]表示表示在某种性质、状况等方面，前一项在程度上不如后一项或者两者差不多。
例句如下
1.我姐姐不比我高。
2.这个笔记本不比那个大。
3.这个饭店不比上次那个好吃。
请判断：在句子“姐姐跳舞不比我好看。”中，是否包含语法点[比较句4：A不比B+形容词?
如果包含，请仅回答T
如果不包含，请仅回答F"
